n_layers,n_units_layer_0,value
5,69,0.8
1,106,0.795
5,101,0.805
1,157,0.8
5,108,0.795
2,169,0.805
2,158,0.795
3,75,0.795
5,90,0.81
5,47,0.79
4,10,0.8
4,125,0.815
4,131,0.795
4,135,0.795
3,193,0.795
4,73,0.8
3,35,0.8
4,127,0.8
5,80,0.8
4,94,0.8
2,41,0.8
5,116,0.8
5,94,0.81
5,89,0.8
4,58,0.805
5,141,0.795
4,90,0.795
5,149,0.815
4,172,0.795
5,197,0.795
3,121,0.81
5,147,0.8
5,113,0.795
5,63,0.8
5,101,0.8
5,151,0.79
4,165,0.795
5,108,0.8
1,124,0.805
5,180,0.8
4,82,0.815
4,100,0.795
3,85,0.805
3,58,0.81
5,96,0.805
4,135,0.8
5,70,0.795
4,110,0.805
4,78,0.795
5,17,0.8
